number,name,posx,posy
1,Adlershof,13.540553,52.435102
2,Ahrensfelde,13.566118,52.571564
3,Alexanderplatz,13.411267,52.521512
4,Alt-Reinickendorf,13.349747,52.577969
5,Altglienicke,13.559602,52.407791
6,Anhalter Bahnhof,13.382077,52.504538
7,Attilastr.,13.361177,52.447298
8,Babelsberg,13.094623,52.391372
9,Baumschulenweg,13.489505,52.467581
10,Bellevue,13.347098,52.519951
11,Bergfelde,13.321455,52.669695
12,Berlin Hauptbahnhof,13.368924,52.525847
13,Bernau,13.593034,52.676233
14,Bernau-Friedenstal,13.564597,52.668369
15,Betriebsbahnhof Rummelsburg,13.497509,52.493957
16,Betriebsbahnhof Schoeneweide,13.524028,52.446695
17,Beusselstr.,13.328703,52.534314
18,Biesdorf,13.555035,52.513059
19,Birkenstein,13.648591,52.515755
20,Birkenwerder,13.288417,52.687871
21,Blankenburg,13.442972,52.591069
22,Blankenfelde,13.415908,52.337628
23,Borgsdorf,13.276771,52.714491
24,Bornholmer Str.,13.39784,52.554754
25,Botanischer Garten,13.306041,52.447552
26,Brandenburger Tor,13.381937,52.516511
27,Buch,13.492452,52.636614
28,Buckower Chaussee,13.382689,52.410919
29,Bundesplatz,13.329149,52.477366
30,Charlottenburg,13.305212,52.505052
31,Eichborndamm,13.315583,52.577545
32,Eichwalde,13.614966,52.372085
33,Erkner,13.752249,52.428396
34,Feuerbachstr.,13.332412,52.463578
35,Flughafen Berlin-Schoenefeld,13.513522,52.390792
36,Frankfurter Allee,13.4753,52.513613
37,Fredersdorf,13.761324,52.526461
38,Friedenau,13.340598,52.470002
39,Friedrichsfelde Ost,13.520043,52.513747
40,Friedrichshagen,13.625462,52.45709
41,Friedrichstr.,13.387153,52.52027
42,Frohnau,13.289564,52.632958
43,Gehrenseestr.,13.525653,52.555736
44,Gesundbrunnen,13.388372,52.548637
45,Greifswalder Str.,13.438356,52.540724
46,Griebnitzsee,13.128917,52.393988
47,Grunewald,13.261944,52.48868
48,Gruenau,13.574018,52.412714
49,Gruenbergallee,13.543222,52.399539
50,Hackescher Markt,13.402358,52.522607
51,Halensee,13.290151,52.496698
52,Heerstr.,13.258514,52.508273
53,Hegermuehle,13.86679,52.549039
54,Heidelberger Platz,13.311843,52.479446
55,Heiligensee,13.228667,52.625148
56,Hennigsdorf,13.205875,52.637866
57,Hermannstr.,13.431704,52.467181
58,Hermsdorf,13.306804,52.618165
59,Hirschgarten,13.60148,52.457903
60,Hohen Neuendorf,13.287224,52.669434
61,Hohenschoenhausen,13.513698,52.566549
62,Hohenzollerndamm,13.300712,52.488314
63,Hoppegarten,13.673889,52.518141
64,Humboldthain,13.378726,52.544742
65,Innsbrucker Platz,13.342875,52.4781
66,Jannowitzbruecke,13.418027,52.5155
67,Julius-Leber-Bruecke,13.360775,52.486263
68,Jungfernheide,13.299064,52.530275
69,Karl-Bonhoeffer-Nervenklinik,13.332921,52.578169
70,Karlshorst,13.525981,52.481038
71,Karow,13.470081,52.615755
72,Kaulsdorf,13.58903,52.512122
73,Koellnische Heide,13.467529,52.469168
74,Koenigs Wusterhausen,13.630568,52.296921
75,Koepenick,13.579543,52.458692
76,Landsberger Allee,13.455944,52.528772
77,Lankwitz,13.34276,52.439034
78,Lehnitz,13.263191,52.741273
79,Lichtenberg,13.498228,52.510754
80,Lichtenrade,13.396358,52.387706
81,Lichterfelde Ost,13.328078,52.429098
82,Lichterfelde Sued,13.308662,52.409956
83,Lichterfelde West,13.294141,52.443512
84,Mahlow,13.408775,52.360164
85,Mahlsdorf,13.61123,52.512118
86,Marienfelde,13.375022,52.423816
87,Marzahn,13.541524,52.543272
88,Mehrower Allee,13.554392,52.557816
89,Messe Nord/ICC,13.283043,52.506454
90,Messe Sued,13.27045,52.498771
91,Mexikoplatz,13.23206,52.437166
92,Muehlenbeck-Moenchmuehle,13.388224,52.654076
93,Neuenhagen,13.699968,52.520852
94,Neukoelln,13.443692,52.469282
95,Nikolassee,13.193298,52.43121
96,Nordbahnhof,13.388794,52.531673
97,Noeldnerplatz,13.484297,52.503444
98,Oberspree,13.538461,52.452269
99,Olympiastadion,13.241111,52.511135
100,Oranienburg,13.248432,52.754362
101,Oranienburger Str.,13.393068,52.525161
102,Osdorfer Str.,13.313865,52.418373
103,Ostbahnhof,13.435747,52.510001
104,Ostkreuz,13.469093,52.502851
105,Pankow,13.412279,52.567281
106,Pankow-Heinersdorf,13.42909,52.577603
107,Petershagen Nord,13.790627,52.529185
108,Pichelsberg,13.227196,52.510264
109,Plaenterwald,13.474029,52.478722
110,Poelchaustr.,13.536008,52.534751
111,Potsdam Hauptbahnhof,13.067157,52.390931
112,Potsdamer Platz,13.376454,52.50934
113,Prenzlauer Allee,13.427419,52.544802
114,Priesterweg,13.356028,52.459239
115,Rahnsdorf,13.691655,52.451371
116,Raoul-Wallenberg-Str.,13.548392,52.550749
117,Rathaus Spandau,13.199891,52.535798
118,Rathaus Steglitz,13.322473,52.455961
119,Rummelsburg,13.478699,52.501213
120,Roentgental,13.514302,52.649062
121,Savignyplatz,13.319003,52.505223
122,Schichauweg,13.389457,52.398563
123,Schlachtensee,13.213986,52.439806
124,Schulzendorf,13.24563,52.613513
125,Schoeneberg,13.352848,52.479811
126,Schoeneweide,13.510149,52.454611
127,Schoenfliess,13.33888,52.66471
128,Schoenhauser Allee,13.415138,52.549336
129,Schoenholz,13.380242,52.571901
130,Sonnenallee,13.455998,52.473822
131,Spandau,13.197477,52.534798
132,Spindlersfeld,13.562701,52.445938
133,Springpfuhl,13.536904,52.525806
134,Storkower Str.,13.464884,52.524195
135,Strausberg,13.834793,52.532364
136,Strausberg Nord,13.908894,52.5907
137,Strausberg Stadt,13.888254,52.57745
138,Stresow,13.20913,52.532505
139,Sundgauer Str.,13.273501,52.436187
140,Suedende,13.354077,52.448899
141,Suedkreuz,13.365579,52.475468
142,Tegel,13.288695,52.588805
143,Teltow Stadt,13.275975,52.397147
144,Tempelhof,13.385754,52.470694
145,Tiergarten,13.336235,52.513963
146,Treptower Park,13.460887,52.493022
147,Waidmannslust,13.320549,52.606814
148,Wannsee,13.179099,52.421457
149,Warschauer Str.,13.448721,52.505889
150,Wartenberg,13.504238,52.573266
151,Wedding,13.36606,52.542732
152,Westend,13.284237,52.51861
153,Westhafen,13.343837,52.536183
154,Westkreuz,13.283036,52.501152
155,Wildau,13.633587,52.319205
156,Wilhelmshagen,13.721004,52.438571
157,Wilhelmsruh,13.363284,52.581588
158,Wittenau,13.335481,52.596392
159,Wollankstr.,13.39315,52.564974
160,Wuhletal,13.575452,52.512465
161,Wuhlheide,13.553527,52.469058
162,Yorckstr. S1,13.369038,52.493034
163,Yorckstr. S2 S25,13.371676,52.492608
164,Zehlendorf,13.259227,52.431209
165,Zepernick,13.533143,52.659218
166,Zeuthen,13.626366,52.349441
167,Zoologischer Garten,13.332707,52.506921
